Title,Review,Rating
Kentucky Brunch Brand Stout,"Amazing stout, expensive but worth the price!",4.75
Kentucky Brunch Brand Stout,This beer meet and exceeded all the unreal hype. It is simply amazing!,4.52
Kentucky Brunch Brand Stout,Let it sit and warm to the room a little ... unbelievable.,5
Kentucky Brunch Brand Stout,"A small pour, ebony dark, no real head. Intense, rich aroma, brownies and German chocolate cake; dark sweetness. The taste amplifies the smell with the addition of sublime Kentucky bourbon. Heavy body; dense, chewy residual sugar feel with a sublime whiskey heat.This beauty was generously provided by @azuelke (Adam) at a bottle share hosted by @GreenBayBA in Sheboygan, WI. There were many great beers sample, many beautiful and exquisite dark beers, but nothing quite like this legendary beer. If ever you have a chance to try this one, all I can say is don't pass it up. The beer lives up to its legendary status.Pouring temperature: n/a; bottling info: unknown year, bottle number #138Source: @azuelke (Adam), Sheboygan, WI bottle share",5
Kentucky Brunch Brand Stout,"Vintage 2022, served on tap at Toppling Goliath in a ""snulip"" glass. Opaque deep blackish brown in color, with garnet highlights and a wisp of tan head. Where to start? Notes of cocoa, molasses, licorice, cherry cola, and maple syrup. The bourbon/barrel was, surprisingly, quite understated. Full body, almost syrupy, with good carbonation and a chewy mouthfeel. This finishes cleanly, with hints of roasted malt, maple syrup, and molasses lingering on the finish. This was incredibly easy drinking and not at all boozy despite the high ABV, and it was so good that I wanted to lick the glass clean. World class all the way.",4.96
Vanilla Bean Assassin,"12oz bottle…2022 version. Drank 12/25/22.Pours dark brown/black, not much carbonation. Smells of sweet chocolate, vanilla, and barrel. Taste is marshmallows soaked in bourbon. Perfect sweetness. If there is a knock it’s slightly on the thin side, but that’s being picky. Probably the best adjunct stout I’ve had. Truly lives up to the hype.",5
Marshmallow Handjee,09/11/23 draft @ Winking Lizard Canton,4.71
Marshmallow Handjee,"2022 vintage, bottle 1316/3500Another milestone review, number 1800! I figured since I have the highest rated RIS on BA just sitting around that it would be a perfect time to break it out. This is my first of any Dark Lord variant, and I think it’s a damn good place to start for the series. Let’s pop this legend open and see what it has to offerPours almost completely pitch black with a finger of creamy tan head that fades to a thin cap and leaves minimal lacingThe roast is real in this one, but it’s wonderfully offset by the sweeter notes as well. I’m picking up on aromas of drip coffee, burnt caramel, dark toast, milk chocolate, tobacco, vanilla bean, molasses, toasted oak, fig, and light cinnamonIt’s similar in taste, but with even more of a depth, making this one hell of a complex beer. On the front end of the sip I’m tasting milk chocolate, vanilla bean, sweetened coffee, toasted oak, fig, maple syrup, burnt caramel, sweet bourbon, cinnamon, black cherry, and marshmallow. The swallow brings notes of milk chocolate, charred oak, maple syrup, burnt caramel, black cherry, fig, vanilla bean, allspice, sweet bourbon, marshmallow, dark toast, and tobaccoA medium body pairs with gentle carbonation, resulting in a smooth beer. Finishes mostly dry with just a touch of boozy heatOh yeah, this is amazing. Thankfully a beer that lives up to the hype. Maybe one day I’ll splurge on another bottle",4.75
Marshmallow Handjee,"2019 bottle, purple sparkle wax. Pours black with minimal head, no retention. Nose rich vanilla, fruity with strawberry, graham cracker. Taste boozy, chocolate, toasted marshmallow. Full body and minimal carbonation.",4.75
Marshmallow Handjee,2022 v.,5
Marshmallow Handjee,"Had the yellow wax at a wedding dinner party. Vanilla/marsh overload, barrel was there, but mostly sweet. Pretty good",4.53
Marshmallow Handjee,2021 bottle - Share w John M in Denver.,4.44
Marshmallow Handjee,"2020 Release#0590/1500Drank during hurricane Ian in Orlando, Florida on September, 28th, 2022.",5
Abraxas - Barrel-Aged,"750ml waxed and capped bottle into a DDG teku.Pours thick, viscous. No head, no lace. Big, mocha colored legs. Spice and cinnamon sugar are apparent on the nose. Also notes of chocolate, fudge, molasses, and booze. Very pungent. Beer opens chocolate, fudge, and cinnamon sugar. Spicy and prickly. Vanilla and barrel in the middle. Oak, booze, and more molasses and fudge at the end. Sticky finish. Body is full with low carbonation. Smooth and rich on the palate and goes down messy with a lingering aftertaste.I'm actually less of a fan of this than other imperial stouts in Perennial's barrel aged series. That being said, still far better than average.",4.19
Abraxas - Barrel-Aged,"Excellent rye barrel with strong taste of cinnamon. Hints of cocoa nibs, ancho, and vanilla are pushed into the background by the barrel flavor, which dominates the other flavors. It is very good, but personally I slightly prefer the greater nuance of the regular Abraxis.",4.84
Abraxas - Barrel-Aged,Cinnamon and pepper the predominant notes. Cocoa and the barrel aged bourbon sweetness add on the balance the spiciness. Very well done adjuncted BA stout.,4.83
Abraxas - Barrel-Aged,Good. Not noticeably better than normal abraxas. Id say overly sweet per style and too mich cinnamon. #3 beer on beer advocate LMAO no.Okay. Fuck. The more I drink this the more I can barely finish the 9oz pour. Sugar cinnamon water. Cloying and WAY fucking 2 dimensional and cloying.,4.64
Hunahpu's Imperial Stout - Double Barrel Aged,"LONG time want of mine! 2016 vintage. Unfortunately, most of the cocoa, vanilla, and cinnamon has faded already. All that remains is the apple brandy, and strong ancho chilies. Spicy burn on finish. I’m sure it’s a shell of its former self.",4.51
Hunahpu's Imperial Stout - Double Barrel Aged,Bottle share thx to Hopelessly0.,3.68
Hunahpu's Imperial Stout - Double Barrel Aged,"Review was for OG, not rerelease.",4.48
Hunahpu's Imperial Stout - Double Barrel Aged,"This amazing beer combines tobacco, peppers, vanilla, and what tastes like brandy into the quintessential barrel aged beer that pours perfectly and combines amazing mouthfeel, carb and taste",4.27
Hunahpu's Imperial Stout - Double Barrel Aged,"2016 Vintage - Drank 02/24/21Smell -pleasant with notes of tobacco and chocolateTaste - The tobacco over powers this one in the beginning. And then as it warms, the peppers take over. Very unique taste, and I think it’s the brandy barrel influence.Feel - thin, and I expected moreOverall - for being the #4 overall beer on BA, I expected more, much more. The feel was thin, and notes of pepper overpowered this. Yet it was not completely unenjoyable, just not even close to the 4th best beer in the world. Regardless, glad I gut to try it as it’s always nice to see what the hype is about. This one just didn’t live up to it",5
